Date,Open,High,Low,Close,Adj Close,Volume
2019-02-25,109.900002,111.230003,109.650002,110.860001,97.281975,3112700
2019-02-26,110.720001,111.900002,110.669998,111.040001,97.439941,2927600
2019-02-27,110.930000,111.199997,110.419998,111.129997,97.518898,2620800
2019-02-28,110.739998,111.089996,109.989998,110.199997,96.702812,2843600
2019-03-01,110.940002,112.370003,110.349998,112.129997,98.396423,3904100
2019-03-04,112.720001,112.900002,109.809998,110.480003,96.948517,2730700
2019-03-05,109.889999,110.849998,109.010002,109.970001,96.500984,3150900
2019-03-06,109.830002,110.010002,108.330002,108.849998,95.518158,2679500
2019-03-07,108.650002,109.029999,106.220001,106.860001,93.771889,3979700
2019-03-08,106.190002,106.730003,104.940002,106.680000,93.613937,2648600
2019-03-11,106.870003,108.919998,106.790001,108.830002,95.500610,2963400
2019-03-12,109.080002,109.839996,108.620003,109.010002,95.658562,2549600
2019-03-13,109.720001,111.730003,109.580002,110.860001,97.281975,3323800
2019-03-14,111.160004,111.180000,110.080002,110.879997,97.299530,2539600
2019-03-15,110.849998,111.250000,109.419998,109.519997,96.106094,4874400
2019-03-18,109.550003,110.870003,109.500000,110.690002,97.132790,2394600
2019-03-19,110.800003,111.019997,110.110001,110.349998,96.834442,2940800
2019-03-20,108.330002,109.000000,106.500000,107.919998,94.702065,4199100
2019-03-21,107.269997,109.970001,106.930000,109.800003,96.351807,1819900
2019-03-22,109.269997,109.589996,107.300003,107.349998,94.201889,2727900
2019-03-25,107.070000,107.459999,106.339996,106.900002,93.806992,2088200
2019-03-26,107.690002,108.790001,107.279999,108.410004,95.132050,2204400
2019-03-27,108.500000,109.139999,108.160004,108.980003,95.632240,1911300
2019-03-28,109.309998,110.410004,109.019997,110.300003,96.790565,1621000
2019-03-29,111.000000,112.029999,110.930000,111.739998,98.054176,3428600
2019-04-01,113.190002,114.779999,112.900002,114.430000,100.414696,3721700
2019-04-02,114.379997,114.550003,113.110001,113.680000,99.756584,2456400
2019-04-03,114.500000,115.029999,113.879997,114.349998,100.344513,2556500
2019-04-04,114.300003,114.570000,113.489998,113.970001,100.011070,2889400
2019-04-05,114.160004,114.910004,114.040001,114.330002,100.326965,2487300
2019-04-08,113.730003,114.059998,113.320000,113.970001,100.011070,1854500
2019-04-09,113.070000,113.269997,112.410004,112.910004,99.080879,2230000
2019-04-10,113.169998,113.269997,112.309998,113.080002,99.230057,1767700
2019-04-11,113.199997,113.730003,112.879997,113.489998,99.589851,2384800
2019-04-12,113.940002,114.879997,113.459999,114.459999,100.441032,2853700
2019-04-15,114.720001,114.910004,113.220001,113.639999,99.721474,1768300
2019-04-16,113.690002,114.150002,113.389999,113.940002,99.984741,2072500
2019-04-17,114.419998,114.720001,113.809998,114.489998,100.467384,2108400
2019-04-18,114.529999,114.720001,114.070000,114.150002,100.168999,1859700
2019-04-22,113.580002,113.860001,112.860001,113.620003,99.703941,2585500
2019-04-23,113.339996,114.050003,112.820000,113.599998,99.686363,2851300
2019-04-24,113.599998,114.980003,113.449997,114.430000,100.414696,3570600
2019-04-25,109.589996,109.879997,104.199997,105.129997,92.253792,10116600
2019-04-26,104.910004,105.019997,103.199997,103.949997,91.218300,5421700
